Table 1
Player,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dinos Mitoglou,48,16.4,2.9,5.5,0.527,0.5,1.3,0.377,2.4,4.2,0.571,1.9,2.6,0.756,1.9,3.4,5.2,0.6,0.9,0.6,0.7,1.7,8.2
Deshaun Thomas,48,25.5,4.8,9.3,0.520,1.3,3.1,0.417,3.5,6.1,0.573,2.4,3.0,0.799,1.6,2.7,4.3,1.1,0.8,0.1,1.1,1.6,13.3
Tyrese Rice,47,17.9,3.1,7.5,0.412,1.6,4.1,0.395,1.4,3.3,0.433,2.2,2.4,0.896,0.3,1.3,1.6,3.5,0.4,0.0,2.0,1.9,10.0
Nick Calathes,47,26.0,4.0,9.5,0.420,1.2,3.7,0.330,2.8,5.8,0.478,1.5,2.4,0.622,0.4,3.9,4.3,8.3,1.3,0.1,2.7,2.5,10.7
Wesley Johnson,46,18.3,1.9,4.1,0.460,0.9,2.4,0.391,0.9,1.7,0.558,0.6,0.8,0.684,0.5,2.3,2.8,1.0,0.7,0.5,0.4,1.8,5.2
Ioannis Papapetrou,45,24.9,4.2,7.5,0.563,1.1,2.9,0.377,3.1,4.6,0.680,0.9,1.4,0.631,0.9,2.8,3.7,1.3,0.7,0.4,0.7,2.2,10.4
Jimmer Fredette,45,20.4,4.2,8.0,0.526,2.0,4.1,0.495,2.2,3.8,0.561,2.7,3.0,0.918,0.4,1.6,2.0,2.4,0.7,0.0,1.4,1.4,13.2
Georgios Papagiannis,44,17.0,3.5,5.3,0.667,0.0,0.1,0.000,3.5,5.3,0.675,0.9,1.3,0.644,1.7,3.4,5.2,0.3,0.3,1.0,0.9,1.8,8.0
Ian Vouyoukas,34,9.0,1.4,2.5,0.560,0.1,0.2,0.375,1.3,2.2,0.579,0.7,0.9,0.781,0.4,1.4,1.8,0.7,0.1,0.3,0.6,1.5,3.6
Ben Bentil,29,9.7,1.0,2.5,0.389,0.4,1.1,0.375,0.6,1.4,0.400,1.0,1.2,0.829,1.0,1.6,2.5,0.4,0.2,0.1,0.4,1.3,3.3
Jake Wiley,24,11.8,2.3,3.5,0.643,0.0,0.0,0.000,2.3,3.5,0.651,0.9,1.3,0.700,1.0,0.8,1.8,0.3,0.5,0.4,0.3,1.1,5.4
Nikos Pappas,23,15.0,1.9,4.4,0.422,0.9,2.2,0.400,1.0,2.3,0.442,1.2,1.7,0.718,0.2,1.1,1.3,2.0,0.6,0.1,1.1,1.7,5.8
Jacob Wiley,20,16.0,4.2,5.6,0.741,0.0,0.2,0.000,4.2,5.5,0.761,1.1,1.5,0.724,1.3,2.5,3.7,0.9,0.8,0.6,1.0,2.2,9.4
Rion Brown,16,9.8,1.1,2.4,0.447,0.4,1.4,0.273,0.7,1.0,0.688,0.8,1.1,0.722,0.1,0.9,1.0,1.1,0.2,0.0,0.3,1.3,3.3
Andy Rautins,14,11.4,1.6,3.4,0.468,1.4,2.6,0.514,0.2,0.7,0.300,0.2,0.3,0.750,0.3,0.6,0.9,0.6,0.6,0.0,0.2,2.1,4.7
Konstantinos Papadakis,12,9.3,1.1,2.2,0.500,0.8,1.9,0.435,0.3,0.3,1.000,0.7,0.8,0.889,0.1,0.8,0.9,1.2,0.3,0.0,0.5,2.0,3.7
Nikolaos Persidis,6,6.8,1.5,2.0,0.750,0.3,0.5,0.667,1.2,1.5,0.778,0.5,0.7,0.750,0.8,1.3,2.2,0.7,0.7,0.0,0.3,0.8,3.8
